father,父
mother,母
parents,両親
son,息子
daughter,娘
child,子供
husband,夫
wife,妻
marriage,結婚
aunt,おば
uncle,おじ
cousin,いとこ
family,家族
relative,親戚
generation,世代
boy,少年
brother,兄、弟
male,[形]男性の
girl,少女
sister,姉、妹
female,[形]女性の
man,男
woman,女
adult,大人
baby,赤ん坊
be born,[動]生まれる
kid,子供
king,王
queen,女王
castle,城
house,家
build,[動]建てる
live,[動]住む
door,ドア
knock,[動]ノックする
open,[動]開ける
chair,いす
desk,つくえ
room,部屋
window,窓
curtain,カーテン
close,閉じる
bed,ベット
floor,床
lie,[動]横たわる
table,テーブル
wood,木材
furniture,家具
building,建物
tall,[形]高い
