close,[形]近い
approach,[動]近づく
kind,種類
type,型
form,形
small,[形]小さい
medium,[形]中間の
large,[形]大きい
line,線
straight,[副]まっすぐに
draw,[動]引く
circle,円
square,四角
triangle,三角
angle,角
curve,曲線
round,[形]丸い
point,点 [動]指さす
sharp,[形]鋭い
object,物体
after,[前]後に
before,[前]前に
between,[前]間に
up,[副]上に
down,[副]下に
motion,動き
front,前
back,後ろ、背中
seat,席
side,側
each,[形]それぞれの
both,[形]両方の
wide,[形]広い
narrow,[形]狭い
passage,通路
hundred,百
thousand,千
million,百万
few,[形]わずかな
some,[形]いくつかの
many,[形]たくさんの
single,[形]一つの
several,[形]いくつかの
various,[形]さまざまな
mile,マイル
pound,ポンド
unit,単位
almost,[副]ほとんど
absolutely,[副]絶対に
certain,[形]確かな
