roof,屋根
gate,門
enter,[動]入る
access,接近
wall,壁
map,地図
hang,[動]かける
pass,[動]通る
exit,出口
entrance,入り口
bridge,橋
river,川
middle,真ん中
nice,すてきな
place,場所
view,ながめ
street,通り
border,国境
cross,[動]横切る
ground,地面
dig,[動]掘る
soil,土
tower,塔
stairs,階段
climb,[動]登る
eye,目
see,[動]見える
sight,光景
ear,耳
hear,[動]聞こえる
sound,音
air,空気
mouth,口
breath,息
nose,鼻
breathe,[動]息する
smell,におい
kiss,[動]キスする
lip,くちびる
cheek,ほお
arm,腕
hand,手
raise,上げる
finger,指
skin,肌
soft,[形]柔らかい
leg,脚
bone,骨
break,[動]折る
foot,足
