earn,[動]かせぐ
living,生計
rich,[形]豊かな
poor,[形]貧しい
fortune,財産
office,事務所
business,商売
company,会社
factory,工場
goods,商品
produce,[動]生産する
store,店
service,サービス
customer,買い物客
product,製品
consumer,消費者
deliver,[動]配達する
cost,費用
increase,[動]増加する
decrease,[動]減少する
foreign,[形]外国の
international,[形]国際的
trade,貿易
dollar,ドル
euro,ユーロ
currency,通貨
port,港
export,[動]輸出する
import,[動]輸入する
bank,銀行
account,口座
budget,予算
economy,経済
industry,産業
growth,成長
shop,店
credit,つけ
debt,借金
sale,販売
profit,利益
loss,損
cash,現金
charge,料金
tax,税金
buyer,買い手
seller,売り手
commerce,商業
supply,供給
demand,需要
vary,[動]変わる
