dress,ドレス
skirt,スカート
shirt,シャツ
clean,[形]清潔な
dirty,[形]汚れた
clothes,衣服
sheep,羊
wool,羊毛
sweater,セーター
pair,一組
glove,手袋
shoe,くつ
pocket,ポケット
inside,内側
outside,外側
sand,砂
beach,砂浜
wave,波
land,陸
mountain,山
forest,森
stone,石
rock,岩
hard,[形]堅い [副]一生懸命に
hill,丘
valley,谷
top,頂点
island,鳥
ocean,大洋
continent,大陸
sun,太陽
moon,月
rise,[動]上る
star,星
earth,地球
universe,宇宙
blue,青
sky,空
sunny,[形]晴れた
shadow,影
light,光
bright,[形]明るい
night,夜
dark,[形]暗い
calm,[形]静かな
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
