Saturday,土曜日
Sunday,日曜日
weekend,週末
holiday,祝日
festival,祭り
vacation,休暇
leisure,余暇
celebrate,[動]祝う
ceremony,儀式
anniversary,記念日
January,１月
February,２月
March,３月
April,４月
May,５月
June,６月
July,７月
August,８月
September,９月
October,１０月
November,１１月
December,１２月
calendar,こよみ
date,日付
set,[動]定める
morning,朝
afternoon,午後
evening,夕方
today,[副]今日
tonight,[副]今晩
tomorrow,[副]明日
yesterday,[副]昨日
noon,正午
midnight,深夜
spring,春
summer,夏
fall,秋
winter,冬
season,季節
change,[動]変わる
England,イングランド
France,フランス
Germany,ドイツ
Japan,日本
China,中国
Korea,韓国
Spain,スペイン
Italy,イタリア
Russia,ロシア
America,アメリカ
