eat,[動]食べる
restaurant,レストラン
serve,[動]食事を出す
breakfast,朝食
lunch,昼食
dinner,夕食
menu,メニュー
list,リスト
order,注文
kitchen,台所
meal,食事
ready,[形]準備のできた
fine,[形]すばらしい
fresh,[形]新鮮な
food,食べ物
knife,ナイフ
fork,フォーク
spoon,スプーン
cook,[動]料理する
hungry,[形]空腹の
feed,[動]食べさせる
drink,[動]飲む
thirsty,[形]のどのかわいた
throat,のど
delicious,[形]おいしい
taste,味
flavor,風味
chocolate,チョコレート
sweet,[形]甘い
bitter,[形]苦い
water,水
milk,牛乳
glass,コップ
cup,カップ
bottle,びん
fill,[動]満たす
tea,紅茶
coffee,コーヒー
pour,[動]注ぐ
cake,ケーキ
cheese,チーズ
piece,一片
fire,火
smoke,煙
burn,[動]燃える
sing,[動]歌う
well,[副]上手に
badly,[副]下手に
ticket,切符
concert,コンサート
