dollar,ドル
talk,話す
lie,横たわる，～にある
basketball,バスケットボール
belt,ベルト
many,多くの
blind,目の見えない
summer,夏
different,違った
future,未来
free,自由な，ひまな
meter,メートル
ago,前
his,彼のもの
eighty,80
Friday,金曜日
senior,年上の，上級の
ill,病気の
help,助ける
umbrella,かさ
down,下に
fifteen,15
member,会員
advise,忠告する，助言する
close,接近した
who,だれ
ours,私たちのもの
living,生きている
hope,希望
drive,運転する
start,出発する，～を始める
add,加える
middle,中央
me,私を
yet,まだ(～でない)
rainbow,虹
bird,鳥
stay,滞在
lion,ライオン
natural,自然の
raw,生の
song,歌
circle,円
far,遠くに，はるかに
really,本当に
root,根
little,小さい，幼い，ちょっとした
ear,耳
modern,現代的な
medicine,薬
