album,アルバム
photograph,写真
band,楽団
music,音楽
instrument,楽器、道具
notebook,ノート
pencil,鉛筆
write,[動]書く
find,[動]見つける
word,単語
dictionary,辞書
spell,[動]つづる
alphabet,アルファベット
sentence,文
tale,話
title,題名
chapter,章
funny,[形]おかしい
comic,[形]こっけいな
laugh,[動]笑う
book,本
read,[動]読む
library,図書館
story,物語
interesting,[形]おもしろい
author,著者
poem,詩
novel,小説
writer,作者
magazine,雑誌
page,ページ
shut,[動]閉じる
print,[動]印刷する
publish,[動]出版する
literature,文学
and,[接]そして
but,[接]しかし
or,[接]または
now,[副]今
already,[副]もう
still,[副]まだ
often,[副]しばしば
usually,[副]たいてい
always,[副]いつも
once,[副]１度
twice,[副]２度
sometimes,[副]ときどき
only,[副]だけ [形]唯一の
about,[副]約 [前]について
just,[副]ちょうど [形]公正な
